content_id,client_id,rf_score,risk_tier,reason_code,action,seen_in_training,days_since_last_update,impressions_90d,avg_position,ctr
content_e88c269d36d5,client_3fdba35f04,0.7367655066154915,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2099,12.4,0.05
content_69d4df8e4364,client_3fdba35f04,0.7366711819172654,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2836,35.7,0.04
content_d829395fda44,client_3fdba35f04,0.7366554241248877,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,296,12.3,0.0
content_3768b53eb3ef,client_3fdba35f04,0.7365790182675179,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,247,16.8,0.0
content_25356349cdf1,client_3fdba35f04,0.7364084400153352,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1608,18.3,0.06
content_d840a3a6302b,client_3fdba35f04,0.736382635233678,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,704,28.7,0.14
content_740be374d84e,client_3fdba35f04,0.736367640166753,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1148,8.0,0.09
content_b063dcd54293,client_3fdba35f04,0.7362561318476211,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,391,34.8,0.0
content_5fb2569dc085,client_3fdba35f04,0.7362035005084151,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,360,11.6,0.0
content_4d1295d31a4b,client_3fdba35f04,0.7361285605895669,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2087,32.4,0.05
content_b7c3994aa0e8,client_3fdba35f04,0.7361113762989132,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1196,31.1,0.0
content_61a49a6ae3db,client_3fdba35f04,0.7360897942309301,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,268,8.1,0.0
content_d9eb4a8986e7,client_3fdba35f04,0.7360858641766302,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3382,24.5,0.12
content_55e037db63d7,client_3fdba35f04,0.7359662821739245,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,770,13.5,0.0
content_8021933ea0f8,client_3fdba35f04,0.7359250410472321,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3340,15.8,0.09
content_437d3081ef18,client_3fdba35f04,0.735831092998954,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2331,36.9,0.0
content_6c8509f56acd,client_3fdba35f04,0.7358097815524122,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,646,14.5,0.0
content_2744dcacbe42,client_3fdba35f04,0.735740393806142,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,353,3.6,0.0
content_2d35636c9425,client_3fdba35f04,0.7357328378807639,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,889,13.3,0.0
content_38901cfffb9b,client_3fdba35f04,0.7356980635373008,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,82,21.6,0.0
content_03e34dd3ecd2,client_3fdba35f04,0.7356373116544062,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3074,32.9,0.03
content_7dcd5d29a6f2,client_3fdba35f04,0.7356263479424133,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,187,28.0,0.0
content_b5286cb71075,client_3fdba35f04,0.7355567394339406,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,198,21.8,0.0
content_dc121e39c6b6,client_3fdba35f04,0.7354867558509033,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,875,25.0,0.0
content_fa214adce930,client_3fdba35f04,0.7353992036665392,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,769,12.8,0.13
content_80856ce26978,client_3fdba35f04,0.7353584483456443,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2243,32.2,0.0
content_7d6b854fc594,client_3fdba35f04,0.7353229773126485,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2683,22.9,0.0
content_50859b364bea,client_3fdba35f04,0.735218535700656,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,780,35.5,0.0
content_3db2b454b5f7,client_3fdba35f04,0.7351304690703617,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,581,33.0,0.0
content_215982bec4ef,client_3fdba35f04,0.7349986451713475,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,567,13.5,0.0
content_bb499af42eb7,client_3fdba35f04,0.7349074197828992,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1497,37.4,0.0
content_0a181c336e37,client_3fdba35f04,0.7348991374705643,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1111,32.2,0.0
content_1b51115391a3,client_3fdba35f04,0.7348456027704268,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3221,9.5,0.0
content_12913e63df31,client_3fdba35f04,0.7348192518187409,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1915,18.2,0.05
content_884c401ce126,client_8527a891e2,0.7347672693801717,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,False,92,101,23.1,0.0
content_7f2e4d6bf2a8,client_3fdba35f04,0.7347539260670184,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2732,26.6,0.11
content_1c3154cc7576,client_3fdba35f04,0.7346977170474265,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,306,25.3,0.0
content_a0daee2036e8,client_3fdba35f04,0.7346879440528565,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,184,23.9,0.0
content_959e1cc9feeb,client_3fdba35f04,0.7346576718857378,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,611,38.1,0.0
content_9367f8967d3b,client_3fdba35f04,0.7346503509424694,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2239,13.2,0.09
content_19fe39ccd4df,client_3fdba35f04,0.7346167876338848,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,948,24.7,0.0
content_a16cc7d0e1da,client_3fdba35f04,0.7346143859564858,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,235,4.0,0.0
content_f552433bab3c,client_3fdba35f04,0.7344689312736415,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,337,1.8,0.0
content_5f819ff7d867,client_3fdba35f04,0.7344345289826517,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1131,40.3,0.09
content_f3ac2b55033f,client_3fdba35f04,0.7343812672809171,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,578,10.4,0.0
content_c0da6295519b,client_3fdba35f04,0.73429182030579,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,748,19.7,0.13
content_e2dbf1b03c08,client_3fdba35f04,0.7342480895763218,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3321,28.7,0.0
content_8dba22b835f8,client_3fdba35f04,0.7342307436905661,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1192,21.9,0.0
content_54bda6d2e0dd,client_3fdba35f04,0.7340823843835382,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,140,29.6,0.0
content_ffeed86ef360,client_3fdba35f04,0.734078631805252,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,383,1.7,0.0
content_5cda32af644c,client_3fdba35f04,0.734078631805252,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,720,3.0,0.0
content_04f9c8cfb061,client_3fdba35f04,0.7340381414943911,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1914,3.5,0.1
content_2eeb978900da,client_3fdba35f04,0.7339839868219331,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,888,19.5,0.11
content_9412afc8a975,client_3fdba35f04,0.733921807448532,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,306,22.5,0.0
content_1e1f3b791a48,client_3fdba35f04,0.7338980768218833,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,682,9.8,0.0
content_c00005154fb7,client_3fdba35f04,0.7338491074911679,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,310,7.4,0.0
content_5f0f461171e1,client_3fdba35f04,0.7338415151106967,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,166,9.8,0.0
content_be9d7d5586f9,client_3fdba35f04,0.7338281203074292,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,681,24.7,0.15
content_5dcd9c312d22,client_3fdba35f04,0.7338124495778928,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1196,21.0,0.08
content_74d93e56c80d,client_3fdba35f04,0.7338023792623243,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2924,38.1,0.03
content_64e5060f40e8,client_3fdba35f04,0.7337656670490307,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1917,17.4,0.16
content_23633ac0f5ae,client_3fdba35f04,0.7336464412372437,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,544,20.0,0.0
content_e04eb9549989,client_3fdba35f04,0.7335945412442884,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3393,3.6,0.09
content_ae53827c2894,client_3fdba35f04,0.7335106321794951,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,548,11.8,0.0
content_30e28ce98183,client_3fdba35f04,0.7333888005492577,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,480,17.6,0.0
content_de89aaff1ad4,client_3fdba35f04,0.73336078424424,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2139,25.6,0.09
content_9556d6ddd2db,client_3fdba35f04,0.7332125737044974,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,519,16.0,0.0
content_e61ce7103a05,client_3fdba35f04,0.7332083317492611,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,291,8.3,0.0
content_ad95421b57d2,client_3fdba35f04,0.7331216817958675,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,715,10.9,0.14
content_547f3b61fe74,client_3fdba35f04,0.7330372255155057,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,81,17.7,0.0
content_06378264a47d,client_3fdba35f04,0.7327548724973382,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,596,5.7,0.0
content_6da6968d5507,client_3fdba35f04,0.7326634862605556,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,153,37.8,0.0
content_4d76cdb3387b,client_3fdba35f04,0.7326127068941908,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1597,2.7,0.13
content_2a228ce7aa1b,client_8527a891e2,0.7324279796254523,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,False,92,155,7.5,0.0
content_cad53a20ddd0,client_3fdba35f04,0.7323561913026063,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,97,34.6,0.0
content_257f801f1cd1,client_3fdba35f04,0.73234138304311,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1839,43.9,0.0
content_ba6f9dfcbca1,client_3fdba35f04,0.7322394368175713,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,4366,20.1,0.09
content_4500346533b1,client_3fdba35f04,0.732227999951246,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,705,3.3,0.0
content_b347ee0ce836,client_3fdba35f04,0.732195959009726,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,483,8.0,0.0
content_e76ac7fed711,client_3fdba35f04,0.7320835514883194,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1877,5.8,0.05
content_861205133cbc,client_3fdba35f04,0.7319589541336521,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,332,4.1,0.0
content_839755102d3f,client_3fdba35f04,0.7319559819353859,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,161,26.3,0.0
content_d447a286b0ed,client_4e07408562,0.7319422561824683,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,False,104,705,14.4,0.0
content_d333007c70d9,client_3fdba35f04,0.7319368194243161,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,119,3.6,0.0
content_764c04089358,client_3fdba35f04,0.7318693584605278,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,890,19.8,0.0
content_7667d13ba73d,client_3fdba35f04,0.7318693584605278,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,699,22.5,0.0
content_8bac7e68dc86,client_3fdba35f04,0.7318693584605278,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,739,21.5,0.0
content_bb83bda7fd39,client_3fdba35f04,0.7317442278445508,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,216,27.0,0.0
content_b85fcb896a50,client_3fdba35f04,0.7317365862201417,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,963,21.1,0.0
content_7e521d1dd40a,client_3fdba35f04,0.7317085649964234,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,205,9.1,0.0
content_8f1409b2674e,client_8527a891e2,0.731688037104579,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,False,104,209,20.0,0.0
content_a662ef2af9b4,client_8527a891e2,0.731688037104579,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,False,104,542,16.0,0.0
